City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
280,Sakakah,SA,29.9697,40.2064,59,55,0,12.66,clear sky
281,Mandasa,IN,18.8667,84.4667,68.27,65,0,2.35,clear sky
282,Baglan,AF,36.1307,68.7083,59,32,100,3.02,overcast clouds
283,Stokmarknes,NO,68.5646,14.9108,28,87,82,16.89,broken clouds
284,Maniitsoq,GL,65.4167,-52.9,23.74,76,0,8.79,clear sky
285,Mecca,SA,21.4267,39.8261,71.37,45,57,12.35,broken clouds
286,Pavagada,IN,14.1,77.2667,72.36,38,15,9.17,few clouds
287,Erzin,TR,36.9559,36.2,62.01,81,0,1.32,clear sky
288,Olafsvik,IS,64.8945,-23.7142,35.65,79,100,16.35,light rain
289,Ancud,CL,-41.8697,-73.8203,73,53,0,10.36,clear sky
290,Mookane,BW,-23.688,26.6595,67.62,91,100,7.47,light rain
291,Mponela,MW,-13.5319,33.7401,78.8,61,40,12.66,light rain
292,Ambilobe,MG,-13.2,49.05,76.26,89,100,0.98,light rain
293,Coahuayana,MX,18.7333,-103.6833,68,73,1,0.85,clear sky
294,Castro,BR,-24.7911,-50.0119,75.34,52,0,1.77,clear sky
295,Marawi,PH,7.9986,124.2928,75.99,90,100,5.01,overcast clouds
296,Bambous Virieux,MU,-20.3428,57.7575,80.6,74,20,8.05,few clouds
297,Noyabrsk,RU,63.1994,75.4507,19.53,98,100,8.28,light snow
298,Gat,IL,31.61,34.7642,64.99,100,21,5.12,few clouds
299,Metu,ET,8.3,35.5833,71.62,27,10,5.68,clear sky
300,Gibara,CU,21.1097,-76.1317,84.2,58,1,10.36,clear sky
301,Batsfjord,NO,70.6345,29.7185,23,74,40,18.41,snow
302,Northam,GB,51.0333,-4.2167,45,92,83,4,broken clouds
303,Kifri,IQ,34.6959,44.9661,56.16,83,100,7.99,overcast clouds
304,Pombas,CV,17.1503,-25.0201,75.2,53,40,28.77,scattered clouds
305,Acarau,BR,-2.8856,-40.12,88.02,55,80,16.91,broken clouds
306,Yar-Sale,RU,66.8333,70.8333,-30.93,84,100,13.53,overcast clouds
307,Tefe,BR,-3.3542,-64.7114,82.4,94,75,6.91,broken clouds
308,Fowa,NG,8.9167,6.4,102.38,9,90,1.03,overcast clouds
309,Husavik,IS,66.0449,-17.3389,33.8,64,75,6.91,broken clouds
310,Brae,GB,60.3964,-1.353,35.6,51,90,20.71,overcast clouds
311,Revelstoke,CA,50.9832,-118.2023,30.2,100,90,0.63,snow
312,Barreiros,BR,-8.8183,-35.1864,87.75,54,32,12.35,scattered clouds
313,Cabedelo,BR,-6.9811,-34.8339,89.6,55,40,11.5,scattered clouds
314,Bystryy Istok,RU,52.371,84.3873,30.72,98,96,6.35,overcast clouds
315,Bandarbeyla,SO,9.4942,50.8122,76.8,78,12,13.91,few clouds
316,Haimen,CN,23.1935,116.6142,60.8,82,0,2.24,clear sky
317,Nongstoin,IN,25.5167,91.2667,49.24,71,4,3.78,clear sky
318,Micheweni,TZ,-4.9667,39.8333,81.5,75,0,11.95,clear sky
319,Moron,AR,-34.6534,-58.6198,90,32,0,1.99,clear sky
320,Arica,CL,-18.475,-70.3042,78.8,50,0,9.22,clear sky
321,Wamba,NG,8.9333,8.6,99.48,9,80,7.14,broken clouds
322,Bintulu,MY,3.1667,113.0333,78.8,94,40,2.3,light rain
323,Tallahassee,US,30.4383,-84.2807,50,81,90,12.66,overcast clouds
324,Edeia,BR,-17.3383,-49.9314,82.35,71,59,5.06,light rain
325,Ballina,AU,-28.8667,153.5667,71.6,88,91,2.51,overcast clouds
326,Ukiah,US,39.1502,-123.2078,35.6,93,1,2.48,clear sky
327,Kyshtovka,RU,56.555,76.6271,32.29,97,100,13.2,overcast clouds
328,Santa Rosa,PH,14.3122,121.1114,79,78,75,4.61,broken clouds
329,La Ronge,CA,55.1001,-105.2842,-32.8,68,0,5.75,clear sky
330,Yeppoon,AU,-23.1333,150.7333,77,69,100,4.61,overcast clouds
331,Muroto,JP,33.2833,134.15,53.8,72,0,6.69,clear sky
332,Yulara,AU,-25.2406,130.9889,80.6,29,0,9.22,clear sky
333,Codrington,AU,-38.2667,141.9667,59.81,80,99,14.54,overcast clouds
334,Lucapa,AO,-8.4192,20.7447,71.42,93,100,6.2,moderate rain
335,Krasnoselkup,RU,65.7,82.4667,0.45,93,100,13.98,light snow
336,San Ramon,US,37.7799,-121.978,46.99,70,1,5.75,clear sky
337,Kavieng,PG,-2.5744,150.7967,81.86,71,96,3.78,overcast clouds
338,Todos Santos,MX,23.45,-110.2167,66.99,39,1,6.91,clear sky
339,Blora,ID,-6.9698,111.4186,74.95,91,83,5.79,broken clouds
340,Vanavara,RU,60.34,102.2797,-0.96,93,100,4.45,overcast clouds
341,Tynne,UA,50.6015,26.1849,23,74,40,11.18,light snow
342,Onalaska,US,43.8844,-91.2351,1.99,66,40,12.66,scattered clouds
343,Margate,GB,51.3813,1.3862,45,91,99,1.01,overcast clouds
344,Khargone,IN,21.8167,75.6,65.98,26,0,4,clear sky
345,Chapais,CA,49.7834,-74.8492,17.6,79,75,14.97,light snow
346,Kilindoni,TZ,-7.9139,39.6668,82.24,76,15,12.75,few clouds
347,Ayan,RU,56.45,138.1667,-6.47,83,100,16.49,overcast clouds
348,Ossora,RU,59.2353,163.0719,16.79,95,100,19.98,overcast clouds
349,Ratnagiri,IN,16.9833,73.3,76.78,59,0,8.3,clear sky
350,Plettenberg Bay,ZA,-34.0527,23.3716,73.13,69,10,5.48,clear sky
351,Nouadhibou,MR,20.931,-17.0347,71.6,46,0,20.71,sand
352,Littlehampton,GB,50.8069,-0.5378,46.4,93,75,8.05,broken clouds
